ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0              11.25     0.33173    0.056498     0.42038      2.9366      1.2638    -0.58848
1             4.2421    -0.22452     0.23873     0.19039      0.9343      1.1196     0.55578
2             37.803     0.80732      1.6691      3.3812      7.5859      1.7557    -0.66234
3             24.955     0.70978      1.6045      2.5483      5.6113      1.4591    -0.74497
4              3.166    -0.27683     0.31871     0.21094     0.54272      1.0491     0.41428
5              18.64     0.34332     0.96324     0.67023      7.8094      1.4335     -0.4695
6           -0.33387     0.21809     0.40079     0.35263    -0.18491     0.98707    -0.24508
7            -40.142    0.012532   -0.069035    0.070911     -2.5606     0.52269      1.2799
8            0.37856      0.0571     0.33725     0.78118     0.15192      1.0104    -0.52825
9             2.3378   -0.090819       0.143     0.54753     0.90751      1.0628    0.039854
10            2.3948   -0.098443     0.67649     0.15126      0.6137      1.0457   -0.041342
11            -5.364    -0.17025     0.33729     0.52434     -1.7863     0.88674    -0.36475
12            8.7895   -0.094695     0.45563     0.11716      3.8503      1.5289    -0.34858
13            1.7175     -0.2026     0.29753     0.48848     0.68408       1.052    -0.10683
14            27.458     0.24021     0.81875    0.037454      7.1557       1.739     0.02838
15           -2.3596     0.28887   -0.066158   -0.061647    -0.34523     0.92596    0.028494
16            45.763     0.59797      2.2101     0.39955      9.9257      1.8329     0.08578
17           -2.2427    -0.35657   -0.040785     0.15481    -0.55682     0.95936     -0.3885
18           -2.1853    -0.01563     0.13455    0.035399     -0.7065     0.93028     0.22704
19           -7.9508   -0.077136   -0.057807    0.082901     -2.7387     0.81984    -0.30155
20           -12.258    -0.09007     0.23216    0.037186     -3.2267     0.70592     0.53241
21           -36.793    0.078848     0.60435     0.78766     -12.425      0.5536     0.73736
22           -25.456    -0.28923      0.1842     0.16949     -4.1608     0.66609     0.30605
23            66.607    0.032955    0.099227   0.0061626      9.8361      2.0919    0.095238
24            27.597      0.1186    0.085523     0.75083      7.0957      1.8466     0.11221
25            2.0591    0.051824   -0.023296    0.032022     0.56581      1.0739    -0.52591
26            66.143     0.32228      2.7641     0.85885       11.11      1.7686     0.32956
27          -0.73248    -0.46707   -0.031295     0.49113    -0.19844     0.98352     0.16397
28           -11.744     0.29973     0.45472     0.55787     -2.9153     0.78751   -0.046515
29           0.68577    -0.23237     0.07245     0.18561     0.14938       1.019    -0.10754
30            4.0579  -0.0022793     0.56133     0.17136      1.3794       1.109     0.06646
31           -9.4717     0.56394     0.51934     0.40229     -2.7335     0.77036      0.4362
32            20.236    0.045912    0.035233      1.0169      7.3926      1.8939    -0.63322
