ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
0            -18.176    0.089297     0.53632     0.12424     -3.2441     0.51544     0.20957
1            -7.9079     0.61308     0.39991   -0.028497     -1.5242     0.70551     0.32002
2            -12.872     0.80307     0.67426     0.15134     -2.4873     0.59324     0.65447
3            -15.345     0.42428      1.2043     0.37478     -3.7098     0.70764     0.33491
4            -9.1664     0.53565     0.33611   -0.038939     -2.8162     0.56556     0.61597
5            -6.7186     0.25722    0.097786    0.089259     -1.6615      0.6616    0.025333
6            -20.608     0.75275    0.074059     0.25366     -2.9308     0.52334     0.32165
7            -15.939     0.74264      0.2918     0.11137     -1.9397     0.60037     0.36181
8            -8.6844      0.3671     0.17115    0.036135     -1.7938     0.63547     0.46056
9            -12.786     0.68017     0.27273     0.32536     -3.4684     0.64037     0.11596
10           -10.046     0.54243      1.0819   -0.012252     -1.2187      0.7233     0.53235
11           -13.804     0.75467     0.91693    0.073178     -2.5879     0.60762     0.41961
12           -8.4788     0.67998      1.0305     0.15611      -1.911     0.76149     0.23153
13           -14.399    -0.12709     0.29066     0.02759     -3.0347     0.53323       0.239
14           -24.953     0.66339       1.853     0.38754     -3.4137     0.50335     0.53003
15            -13.88    0.072769     0.67058   -0.022752     -3.8605     0.55796     0.53047
16           -11.021     0.27409      1.1456      0.1803     -2.4582     0.70155     0.35294
17            -2.332     0.11395    -0.01116   -0.066047     -0.2316     0.88018     0.51851
18           -15.391     0.68487     0.58773     0.13732     -2.2694     0.64366    0.098724
19            -14.33   0.0052863    0.083121   -0.059573     -1.6487     0.66424     0.84802
20           -3.9032     0.50277     0.10422    0.011991    -0.53584     0.78335     0.53296
21            1.5785     0.35073     0.25372    0.004468     0.28891      1.0825     0.13797
22           -4.5042     0.08688     0.26583    0.067596     -1.0491     0.80095     0.34434
23           -6.6825     0.68317     0.23676     0.27719      -1.564     0.73157     0.43195
24           -10.746     0.64239    0.077594     0.18475     -2.2128     0.71201     0.15919
26           -11.804   -0.038741    0.049209   -0.081298      -1.327     0.69766     0.44542
27           -8.7053     0.39534    0.014373     0.11337     -1.6153     0.72673    -0.25251
28            -1.647    0.056262     0.33969   -0.047986    -0.30212     0.91221     0.60513
29           -7.8497      0.7038     0.59894     0.07602     -1.1304     0.76008     0.46094
30           -5.4969     0.55003     0.61136     0.16768     -1.0278     0.84766     0.14606
31           -4.7955    0.055352     0.12521    0.039744    -0.60185     0.76589      0.6965
32           -18.044     0.25273    0.042721   -0.074899     -2.8587     0.47698    0.039374
33           -16.049     0.20343     0.17431    0.072473     -3.3284     0.67238     0.45112
34           -15.197     0.49895     0.12922    0.045312     -1.9194     0.58933     0.44582
35           -20.673      0.2027    0.023092   -0.098172     -2.3983      0.4351     0.48645
36           -8.4676     0.19569     0.70035     0.19881     -1.4821     0.66652     0.78675
37           -30.943     0.41841       0.436    0.020769     -5.1659     0.46485     0.16966
38             -10.3     0.73504     0.28104   -0.040729     -1.9616     0.63649     0.31055
40           -8.4055     0.59546     0.37904    0.016051     -1.3237     0.64216     0.58589
41           -9.7811      0.2178     0.17045   -0.027487     -1.6456     0.66009     0.64106
42           -12.695     0.32642       1.389     0.33819     -2.9826     0.69923    0.060888
43           -9.5235     0.88856     0.46014    0.044184     -1.4548     0.66555     0.32709
44             -43.2     0.68705     0.64616     0.27194     -4.3447     0.31764     0.66061
45           -6.8182     0.62544     0.84594     0.19886     -1.2242      0.8176     0.52368
46           -16.075     0.31423     0.15579    0.073021     -1.9801     0.49405      0.8662
47           -11.791    0.062853     0.35605   -0.081765     -1.7067     0.54272     0.61629
48           -8.8872     0.37624     0.64053     0.23384     -1.6438     0.70714     0.42257
49           -11.127     0.64439    0.094605   -0.021696     -1.3336     0.62712     0.24088
50            -11.35     0.41176     0.18451    0.025884     -1.3749     0.57963     0.90433
51           -15.137     0.88567      2.4501     0.38293      -2.353     0.70194     0.29029
52           -11.657     0.22845     0.44055     0.24778     -1.8446      0.5918    -0.33561
53           -11.715    -0.13998   -0.022859    -0.01587     -1.3052     0.71813     0.51572
54           0.43387     0.16648    0.069945    0.038165    0.063011      1.0296     0.78157
56           -20.832     0.20057      1.0019   -0.051964     -3.0077     0.48289     0.50096
58           -18.713     0.20594     0.38677    -0.00962     -2.9451     0.59911     0.23647
59            -11.24     0.37092     0.20583   -0.068536     -1.8328     0.61827      0.5179
60           -11.106     0.32117     0.66801     0.31842     -1.9733     0.69152     0.25729
61           -10.395    -0.10248     0.12026    0.024108     -1.5213     0.69161     0.14287
62           -13.266    -0.41284     0.48201    0.013243     -1.8912     0.57848     0.73651
63           -6.5855     0.44188      0.9136     0.35686     -1.0868     0.83156     0.64504
64           -10.684     0.27558      0.3515   -0.076117     -1.1549     0.73475     0.60901
65           0.16306     0.52606     0.16278    0.042024    0.025022      1.0081     0.81801
66           -23.295     0.56469      1.0107     0.26339     -2.6118     0.52495     0.81427
67           -12.883     0.51296     0.67224    0.058183     -1.5997     0.69035     0.54239
68           -13.255     0.43303     0.39298     0.11953     -1.6642     0.60963      1.0104
69           -20.938     0.12985     0.19843   -0.010278     -1.4474     0.60699      0.2888
70           -18.229     0.87937      1.5636      1.3058     -3.2387     0.60135     0.17827
71           -13.462     0.76493     0.87404    -0.04093     -1.8344     0.62924     0.53899
72           -8.0553     0.25531    0.064198   -0.061965    -0.43729     0.60694     0.81518
73           -19.157     0.90055      1.5686     0.85254      -3.817     0.59954     0.22192
74           -17.949     0.82581     0.79338     0.27257     -2.7305     0.62007     0.46749
75           -33.431     0.59766     0.28952     0.15168     -5.0129     0.50005    -0.20945
76           -16.726     0.86948      1.1203     0.63231     -2.9042     0.55257     0.26105
77           -18.015     0.56628     0.18914    0.033074     -2.1179     0.62026     0.46999
78           -11.094     0.62572     0.51363     0.13216     -1.5924     0.61876      0.4714
79           -19.246     0.88561      1.8457     0.63713     -2.5626     0.63532     0.24651
80           -20.273     0.21599     0.54383    0.079174     -2.5127     0.56296     0.52477
81            -15.93     0.54934     0.92452   -0.010187     -1.8187     0.55672     0.78883
82           -22.195      0.5188      1.1924    0.061645      -2.615     0.49276     0.49477
83           -10.973    0.019968     0.72531     0.15496     -1.4629     0.62582     0.13062
84           -22.361     0.50877      1.4599     0.21577     -2.6453     0.56352     0.56586
85           -13.153     0.84122      2.0475     0.46268     -2.5999     0.61617     0.37474
86           -13.311     0.67135     0.42751    0.072587     -2.0934     0.61626     0.54961
87           -20.913     0.84994      1.2003     0.24672     -4.2387     0.42807     0.49853
88           -5.0134     0.29089     0.12108     0.15821    -0.43134     0.86646     0.43042
89           -23.398     0.68583     0.14139   -0.033795     -1.7908     0.40809     0.31319
90           -21.036     0.72201      1.4164      0.2569     -2.7259     0.49693     0.39334
91            -13.48     0.89387      1.5384    0.085012     -2.4188     0.52376     0.56433
92           -21.793     0.37384     0.45822    0.082023     -2.6476      0.4779      0.4849
93           -9.9249     0.75472      2.0639    0.038632     -1.5605     0.61002     0.56292
94           -22.778     0.89354     0.90808     0.23979     -4.7943     0.53142     0.29646
95           -21.933     0.65898      1.5289     0.30281     -2.5636     0.58764     0.24069
96           -17.263     0.85846      1.3574     0.49219     -2.8835     0.59074      0.3885
97           -10.512      0.5708      0.5688     0.08885      -1.709     0.64434     0.16786
98           -12.966     0.49758     0.95779     0.29853     -2.4949     0.69221     0.24434
99           -9.0187     0.73932      1.3516     0.19861     -1.8213     0.68419     0.29848
100           -4.934     0.44096     0.52262     0.19196    -0.40302     0.86826     0.15328
101          -14.222     0.64392      1.0044    0.063767     -2.5707     0.55562     0.65029
102          -39.411     0.53643     0.85388     0.22548     -4.7261     0.54344     0.49926
103          -10.372     0.46167     0.31395    -0.02666     -1.5997     0.63941     0.93851
104         -0.72947     0.73248     0.34135   -0.004765    -0.10019     0.96648     0.54757
105           -16.83     0.68365      1.7485     0.30872     -2.1722     0.61368     0.47918
106           -25.35     0.61876     0.99727     0.10594     -4.1431     0.50323     0.40307
107          -16.414     0.65093     0.47614    0.090911     -2.1405     0.62073     0.55053
108          -21.276     0.47275     0.55151     0.19684       -1.86     0.63107     0.50233
109          -21.142     0.69395      1.2471     0.19585     -3.4939     0.38285     0.74829
110          -17.128     0.37205      1.7212     0.05517     -3.1908     0.48504     0.58175
111          -13.504     0.79152      3.5838      0.5583     -2.7513     0.61448     0.62348
112          -9.4192     0.71404      1.6783     0.25635     -2.1469     0.66412     0.52365
113          -11.135     0.28845     0.78252     0.29817     -2.1221     0.70912     0.40162
114          -8.8263     0.33458     0.80927   -0.019482     -1.6346     0.67619     0.64594
115          -12.845   -0.094098     0.30661    0.013526     -1.2906     0.77132     0.57736
116          -1.7781     0.19372     0.19596    -0.03417    -0.36334     0.87241     0.71162
117          -5.5013     0.44588    0.050687   -0.072182    -0.50082     0.78775     0.56303
118           -15.01     0.76598     0.47372    0.088962     -2.3042     0.58807     0.30882
119          -3.7964     0.75384     0.64852     0.67207    -0.35995     0.91361     0.07168
120          -8.4346      0.9308      1.7652     0.89537     -1.2133     0.78389     0.26917
121          -27.344     0.87791      1.1226     0.71223     -3.4674     0.58608     0.39935
122          -11.681     0.69233      1.1133    0.082977     -1.1384     0.63662     0.44335
123          -19.839     0.29871    0.082389   -0.017527     -2.2852     0.48692     0.39454
124          -25.806     0.62308      1.1148     0.13439     -2.7435     0.53598     0.44445
125          -6.6309    -0.52952  -0.0092609    0.002743     -1.3082     0.68636    -0.31238
126          -6.3361     0.56985     0.19839    0.049769      -1.238     0.68621    -0.19505
127          -4.4103      0.1467     0.11296    0.066442    -0.74585     0.82518    -0.12005
128          -26.727     0.27679     0.85256     0.23693     -4.2648     0.47735     0.36456
129          -18.803     0.19444     0.73206   -0.033494     -2.9381     0.58056     0.75837
130          -20.642     0.66156     0.70254    0.046651       -2.75     0.55329     0.69208
131            -28.2     0.78632     0.92949     0.35929     -2.7101      0.5858       0.321
132          -23.241    -0.26547     0.12573   -0.039164     -2.0993     0.43519      0.9581
133          -23.594     0.81957     0.57281    0.039385     -3.5369     0.48342     0.44773
134          -21.487    0.075242     0.76431   -0.036062      -3.899     0.47884     0.62384
135          -20.347     0.39773     0.96438     0.10888     -2.8757     0.52921     0.67659
137          -4.0329    -0.14124  -0.0010839    0.080592    -0.75811     0.76041    -0.16139
138          -15.255     0.31803     0.26746   -0.060268     -1.7076     0.53791     0.34362
139          -13.504     0.25137     0.10729   -0.031255     -1.8397     0.64096    -0.02964
141          -20.413     0.46985       1.104    0.072796     -2.6048      0.4831     0.56916
142          -13.509     0.41644     0.29567    0.088017     -2.3387     0.55122     0.57352
143          -15.165     0.29909     0.46099   -0.037562     -2.6482     0.59142     0.26569
145          -12.692   -0.064432    0.037894   -0.066193     -2.0371     0.50699     0.69821
146          -26.618    0.016368     0.38435   -0.062422     -3.3992     0.44472     0.81796
147          -5.6656     0.26373    0.068259    -0.01457     -1.3077      0.7417     0.11527
