ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
4             25.723     0.36665       3.246     0.12765      16.464      2.0069    -0.19467
6             7.5452     -0.2249      1.4264     0.20428      5.4569      1.4507     0.45551
7             64.512    -0.58447     0.50178    0.031041      37.592      7.6072   -0.091111
8             7.2621     0.61219      1.1749     0.11559      6.4304      1.3124   -0.026688
9              25.63     0.18834      2.7069     0.23414      15.897      2.0653    -0.73636
12           -10.983    0.082148      0.6295   -0.054345     -8.0613     0.65294       0.732
16            33.978   -0.081475     0.58438     0.16259      23.834      2.9722     -1.6686
28             19.31     0.70781      1.1238     0.25298      13.011      1.5256    -0.18557
38            58.643     0.13726     0.97399     0.14186      15.329      3.7344    -0.97698
52            70.098     0.88328     0.61537     0.76416      24.231      2.3604    -0.61225
53            31.249     0.81947      1.1071     0.42426      13.029      1.8833    -0.20129
58            20.446     0.46186      1.1169    0.043847      8.4342      1.9977    0.011315
67            23.347     0.76463      1.4166     0.91379      11.468      2.1471     -1.3796
69           0.43124     0.72143      1.5434     0.36215     0.27142      1.0164     0.32925
70            61.619     0.84881       1.514     0.73188      22.644      2.3154     -1.0453
71             14.32     0.27551     0.56468   0.0078892      8.1552      1.6957      0.4085
72            14.154     0.48386      1.3264     0.16418      7.3974      1.7293    -0.22942
73            47.613     0.52064      1.4414      1.3256        20.5      2.6896       0.365
74           -24.253    -0.38605      1.4965    0.037124     -12.578     0.60067     0.32278
76            11.988     0.58416      1.2072     0.31423      3.9835      1.2421    -0.31491
82           -4.5595     0.75067      2.2897     0.69976     -2.6723     0.85648     0.16681
83             14.92    -0.25418     0.92905   -0.044284      8.1018      2.2222     0.31565
85            4.9009     0.82306      1.3244     0.31583      2.3947      1.1535     0.13223
86            32.803     0.32347     0.73213   -0.040971      18.562       2.822     0.30317
87           -4.5755    -0.23967     0.81731    0.049978     -2.0083     0.89682     0.49341
88            9.7684    -0.29443      1.2982     0.34397      7.7751      1.7515   -0.064317
89           -8.5735     0.12991       2.331    0.035975     -3.9839     0.84828     0.50069
91            19.139    -0.20949     0.60794    0.017958      7.0099      1.4756     0.30709
94            3.1686     0.32678     0.95825   0.0068304      1.6269      1.1574     0.41806
96            5.9138   -0.018682      1.0446     0.17286      4.2809      1.3411     0.27895
98            22.949    -0.27423       1.169     0.80169      15.344      2.2911     0.31184
100         -0.42226    -0.13126      0.8203    0.021122     -0.2619     0.97978     0.55427
102             12.6     0.17661      1.3442  -0.0071213       6.713      1.6154     0.44104
107           95.093     0.70114      0.5241     0.58263       30.37      2.8811     0.28943
108            33.53     0.48859      1.2033     0.14572      14.197      2.5431     0.01124
109           8.3677     0.52896      0.7062  -0.0075341      3.8267      1.3417    -0.17832
110           7.6478    -0.55894      1.4807    0.046544      6.6875       1.704     0.44761
111           24.061     0.70275     0.56705     0.23238      10.124      1.8144     -0.5111
112           4.8217     0.68031     0.60879     0.20467      3.6579      1.3278    -0.31662
113            4.091     0.54642      1.0115     0.13111      2.5823      1.1495      0.1859
114          -33.001     0.19573     0.85057    0.071071     -12.769      0.6018     0.52189
116           6.3654     0.69759     0.63311     0.14202      5.9684      1.4303    -0.32181
118           30.598    -0.44235     0.81212      1.3425      15.304      2.2317     0.80139
122        -0.040138    -0.14126     0.91146    0.040961   -0.029066     0.99833     0.59656
124           36.205    -0.38691     0.57013   -0.026494      13.378      4.4956     0.69697
126           4.4392     0.48534     0.66013    -0.02847      1.9641      1.2915     0.32833
129           -10.28     0.10103     0.88341     0.19127     -5.4275     0.64301     0.60155
138           51.503     0.41723      1.6298     0.52231      35.167      3.2746    -0.51349
139            31.87     0.45415     0.68543    0.045419       7.505      2.4398    -0.12586
141           107.55   -0.042542     0.79179     0.06709      30.191      7.5463    -0.49331
142           10.831     0.13746      2.8848     0.15533      4.0663       1.233     0.32872
144         0.048656     0.86837      2.3085      1.0199    0.024273      1.0008     0.34617
146           15.763    -0.22529      1.7389    0.021932      5.5934      2.3681     0.71349
147           43.205   -0.091499      2.4438     0.24194      6.9854      2.3728      0.6282
148           71.355     0.24394     0.69319     0.11575      22.889      5.1976     0.32702
149            23.95      0.5035      1.8375     0.42988      8.2924      1.7798    -0.38629
150            18.98     0.27416      2.3853    0.067422      5.1944      1.4615     0.15224
153             27.1     0.53655      2.0401      1.3639      5.9396      1.4199    -0.51155
155           71.377    -0.39915      1.3747     0.97377       27.67      4.2933    -0.11887
157           53.903     0.47214      1.8301     0.56833       19.13      2.2108    0.068668
159           16.041     0.36065     0.75858    0.038803      3.8816      2.6477     0.15532
