ROI              M_S         M_C       SNR_g       SNR_p    M_S_norm   M_S_ratio         M_X
--------------------------------------------------------------------------------------------
25            3.2532     0.12915   -0.061743     0.15941      1.1157      1.1376    -0.33816
39            -11.49     0.34784   -0.084703   -0.030748     -4.5042     0.38867     0.56194
44           -3.6367    -0.27173    -0.05365    0.075006    -0.73849     0.85798     -0.1068
61            6.1987   -0.012211   -0.059755    0.032001      1.5173      1.3185    -0.23257
82            10.311     0.47198    -0.10335   -0.067322      1.9974      1.5771     -0.3407
90            26.833     0.54122    -0.08082   -0.058893      4.8951      1.5881      -2.061
97            13.983    -0.24423    -0.12176   -0.093635      1.2184      1.5806     0.18617
99           -18.717     0.11053   -0.080979    -0.11293     -3.7931     0.52076     0.50313
117           4.9313     0.49924   -0.096548    0.029038     0.72275      1.8794      -1.333
121         -0.36708    -0.41043   -0.067665   -0.045839   -0.049981      0.9876   -0.040629
126           6.7343   -0.096715   -0.045969    -0.06424      3.3563      3.9669     -2.0414
129           9.8257     0.46176    -0.06551    0.075269      3.0905     -3.5353    -0.29747
135            1.143     0.32665   -0.048623     0.03577     0.30036      1.0982    -0.55982
140           9.7502     0.22332   -0.080531    0.069017        3.04      2.9653   -0.033621
141           5.3211    -0.26532     -0.1112   -0.022265      2.4653     0.21601       8.555
