site           roi      hw_raw     hw_norm   orth_norm
------------------------------------------------------
2.0            0.0       44.05        44.5    -0.01364
2.0            1.0       50.62       47.47    0.082138
2.0            2.0       69.32        58.9     0.20319
2.0            3.0       61.23       58.64    0.054576
2.0            4.0       56.46       54.52    0.046371
2.0            5.0       65.58       55.48     0.18912
2.0            6.0       50.98       52.15   -0.031777
2.0            7.0        77.2       54.72     0.27891
2.0            8.0       66.63       55.95     0.21678
2.0            9.0       69.62       59.33     0.18684
2.0           10.0      101.07       76.96     0.30067
2.0           11.0       56.51       52.84    0.085748
2.0           12.0       74.31       51.26     0.25143
2.0           13.0        66.2       64.28     0.03908
2.0           14.0       78.28       50.91     0.47448
2.0           15.0      104.69       73.36     0.34816
2.0           16.0        75.2       60.86     0.26323
2.0           17.0       67.11        64.4    0.040519
2.0           18.0      146.51       86.05     0.51809
2.0           19.0       89.02       57.66     0.32276
2.0           20.0      127.45       42.75     0.51167
2.0           21.0      123.63       68.04     0.33631
2.0           22.0       51.92       51.69    0.007042
2.0           23.0       114.7       56.74     0.43588
2.0           24.0        null        null        null
2.0           25.0        null        null        null
2.0           26.0        73.7       62.64     0.20446
2.0           27.0        null        null        null
2.0           28.0        null        null        null
2.0           29.0       80.05        56.9     0.32692
2.0           30.0       87.82       64.69     0.24514
2.0           31.0       58.84       52.79     0.11718
2.0           32.0      113.17       83.78       0.304
2.0           33.0        64.6       47.74     0.34813
2.0           34.0      132.91       62.01      0.5613
2.0           35.0        null        null        null
2.0           36.0       141.1       51.93     0.43998
2.0           37.0      102.94       56.44     0.44577
2.0           38.0        null        null        null
2.0           39.0      140.36      108.61     0.47929
2.0           40.0      100.53       73.94     0.40923
2.0           41.0       58.45          57    0.040185
2.0           42.0      106.93          60     0.36419
2.0           43.0       78.27       65.15     0.19027
2.0           44.0      119.64       68.07     0.38173
2.0           45.0        99.1       62.24     0.45574
2.0           46.0       77.91       60.24     0.16023
2.0           47.0        null        null        null
2.0           48.0        null        null        null
2.0           49.0       91.61       61.06     0.30801
2.0           50.0       79.97       64.01     0.22449
2.0           51.0        60.4       58.44    0.045578
2.0           52.0       51.64       47.29     0.10684
2.0           53.0       88.68       63.74     0.31661
2.0           54.0       78.28       63.76     0.18598
2.0           55.0       54.26       52.54    0.040531
2.0           56.0       80.46        55.2     0.43267
2.0           57.0       70.49       65.77    0.088734
2.0           58.0        null        null        null
2.0           59.0       70.45       53.77     0.26181
2.0           60.0       74.03       53.29     0.34334
2.0           61.0       64.55       60.23    0.087084
2.0           62.0        null        null        null
2.0           63.0       85.63       60.21     0.33474
2.0           64.0       78.86       62.12     0.25565
2.0           65.0       44.64        43.4    0.035352
2.0           66.0      108.82       67.24     0.33761
2.0           67.0       75.34       59.39      0.2346
2.0           68.0       48.08       45.97     0.05487
2.0           69.0       97.21        73.5     0.22644
2.0           70.0       97.99       73.73     0.34801
2.0           71.0       74.48       52.86     0.37693
2.0           72.0       42.93       43.41   -0.015494
2.0           73.0      100.37       61.25     0.40207
2.0           74.0        null        null        null
2.0           75.0        55.4       52.72    0.062751
