site       ROI        LHI2            LHI3           
--------------------------------------------------
2          0          0.024145        0.057216       
2          1          0.021514        0.055234       
2          2          0.27936         0.35673        
2          3          0.068731        0.14424        
2          4          0.11605         0.20051        
2          5          0.054303        0.11629        
2          6          0.15152         0.095372       
2          7          0.06386         0.12996        
2          8          0.058025        0.12779        
2          9          0.18721         0.29658        
2          10         0.23685         0.39868        
2          11         0.024172        0.071607       
2          12         0.44566         0.34557        
2          13         0.2574          0.33699        
2          14         0.33979         0.47873        
2          15         0.29297         0.44989        
2          16         0.068426        0.14754        
2          17         0.42251         0.21796        
2          18         0.42628         0.50104        
2          19         0.13062         0.24172        
2          20         0.21496         0.37375        
2          21         0.46145         0.63136        
2          22         0.14397         0.11474        
2          23         0.31026         0.53772        
2          24         0.21287         0.39682        
2          25         0.38005         0.61178        
2          26         0.19968         0.21564        
2          27         0.51288         0.77488        
2          28         0.83125         0.80598        
2          29         0.32643         0.35724        
2          30         0.38742         0.30822        
2          31         0.18561         0.19426        
2          32         0.29112         0.5702         
2          33         0.40984         0.42686        
2          34         0.22251         0.47493        
2          35         0.26861         0.59948        
2          36         0.81523         0.65123        
2          37         0.46132         0.42693        
2          38         0.23645         0.52914        
2          39         0.35508         0.64443        
2          40         0.23407         0.52059        
2          41         0.12329         0.17945        
2          42         0.42994         0.62227        
2          43         0.3786          0.31851        
2          44         0.2396          0.49497        
2          45         0.25112         0.52245        
2          46         0.58281         0.59015        
2          47         0.69053         0.64245        
2          48         0.88197         0.49671        
2          49         0.36964         0.43519        
2          50         0.31747         0.25708        
2          51         0.22543         0.41156        
2          52         0.31901         0.25076        
2          53         0.20473         0.39783        
2          54         0.24945         0.2098         
2          55         0.0568          0.15225        
2          56         0.48256         0.30151        
2          57         0.067529        0.19697        
2          58         0.62456         0.37493        
2          59         0.15407         0.29353        
2          60         0.18326         0.16705        
2          61         0.062476        0.1777         
2          62         0.4862          0.41161        
2          63         0.44022         0.43516        
2          64         0.09579         0.12924        
2          65         0.01468         0.051704       
2          66         0.4012          0.41125        
2          67         0.073288        0.12556        
2          68         0.025505        0.055552       
2          69         0.20349         0.24582        
2          70         0.33208         0.3852         
2          71         0.12574         0.172          
2          72         0.039416        0.058175       
2          73         0.25156         0.32649        
2          74         0.53042         0.39247        
2          75         0.032899        0.049649       
2          76         0.039177        0.061155       
2          77         0.12251         0.11661        
2          78         0.025756        0.040778       
2          79         0.20876         0.26271        
2          80         0.088035        0.10019        
2          81         0.20596         0.15682        
2          82         0.083352        0.081528       
2          83         0.28186         0.26212        
2          84         0.16074         0.20882        
2          85         0.68179         0.34622        
2          86         0.040497        0.065171       
2          87         0.021137        0.041494       
2          88         0.10206         0.11312        
2          89         0.10013         0.14805        
2          90         0.29597         0.17999        
2          91         0.065577        0.15456        
2          92         0.46509         0.44978        
2          93         0.18411         0.18462        
2          94         0.053266        0.077958       
2          95         0.30275         0.18574        
2          96         0.086868        0.13995        
2          97         0.22349         0.18629        
2          98         0.14092         0.13297        
2          99         0.67857         0.79955        
2          100        0.0659          0.10082        
2          101        0.10655         0.37865        
2          102        0.38972         0.45951        
2          103        0.068224        0.097531       
2          104        0.08405         0.23947        
2          105        0.43255         0.36103        
2          106        0.049449        0.10487        
2          107        0.18505         0.23886        
2          108        0.15421         0.27143        
2          109        0.10164         0.14025        
2          110        0.094604        0.11805        
2          111        0.12495         0.19699        
2          112        0.1254          0.26886        
2          113        0.45596         0.43589        
2          114        0.13241         0.25562        
2          115        0.051766        0.099785       
2          116        0.063725        0.1711         
2          117        0.52042         0.49094        
2          118        0.14925         0.23397        
2          119        0.021224        0.14002        
2          120        0.1063          0.24633        
2          121        0.019541        0.11983        
2          122        0.54463         0.51969        
2          123        0.16098         0.38583        
2          124        0.1706          0.25099        
2          125        0.44623         0.44868        
2          126        0.15432         0.35239        
2          127        0.38011         0.6934         
