site        roi         bsf         bdr         dsi         osi         dcv         ocv         
------------------------------------------------------------------------------------------------
2           0           3.84        300         0.205091    0.980977    0.866445    0.160741    
2           1           3.84        300         0.137665    0.789709    0.945801    0.389402    
2           2           3.84        0           0.246349    0.513397    0.851179    0.672471    
2           3           2.56        0           0.304607    0.541586    0.954805    0.611145    
2           4           5.12        0           0.00377103  0.960885    0.962673    0.252265    
2           5           5.12        120         0.200698    0.689695    0.89332     0.593325    
2           6           1.92        60          0.441116    0.981476    0.692475    0.242968    
2           7           3.84        300         0.133959    0.469944    0.92843     0.734608    
2           8           3.84        0           0.134228    0.601449    0.888722    0.683321    
2           9           3.84        150         0.0162821   0.747581    0.895526    0.634449    
2           10          2.56        270         0.300879    0.523184    0.893426    0.736217    
2           11          5.12        0           0.146473    0.85556     0.899869    0.329784    
2           12          2.56        300         0.326213    0.53058     0.799029    0.711458    
2           13          1.28        120         0.392628    0.938133    0.720034    0.399968    
2           14          2.56        150         0.0368455   0.303158    0.92889     0.792108    
2           15          2.56        330         0.125052    0.335362    0.944238    0.792229    
2           16          2.56        120         0.117386    0.497523    0.938939    0.738288    
2           17          3.84        240         0.161664    0.782606    0.935375    0.409488    
2           18          2.56        270         0.0453352   0.222628    0.954998    0.865327    
2           19          2.56        120         0.101413    0.459701    0.859565    0.756081    
2           20          3.84        300         0.0957323   0.0466143   0.954232    0.920283    
2           21          2.56        270         0.199846    0.384251    0.919731    0.819675    
2           22          1.92        30          0.530836    0.976413    0.503896    0.253212    
2           23          3.84        150         0.134501    0.305476    0.994567    0.847997    
2           24          5.12        300         0.404438    0.28842     0.89207     0.820286    
2           25          0.96        270         0.734561    0.258553    0.572289    0.76606     
2           26          2.56        0           0.132217    0.547076    0.950725    0.655876    
2           27          1.92        330         0.253931    0.261602    0.879399    0.86177     
2           28          2.56        270         0.212244    0.0916469   0.962822    0.974441    
2           29          3.84        0           0.180313    0.459706    0.91993     0.778938    
2           30          3.84        30          0.172614    0.623908    0.915913    0.684164    
2           31          3.84        30          0.283164    0.93352     0.828013    0.448197    
2           32          3.84        300         0.199092    0.213668    0.959898    0.923644    
2           33          7.68        150         0.123183    0.743155    0.886784    0.511386    
2           34          2.56        270         0.283867    0.0783961   0.919275    0.846054    
2           35          3.84        120         0.204675    0.125277    0.885842    0.971709    
2           36          2.56        210         0.0754791   0.33903     0.957389    0.843794    
2           37          3.84        330         0.132456    0.228325    0.92418     0.880481    
2           38          2.56        120         0.178194    0.258812    0.967869    0.842474    
2           39          3.84        0           0.126081    0.249219    0.909154    0.872813    
2           40          2.56        120         0.337216    0.262421    0.925982    0.89459     
2           41          3.84        0           0.203118    0.847715    0.903321    0.337714    
2           42          2.56        330         0.00272401  0.283899    0.992887    0.817323    
2           43          2.56        330         0.13156     0.378016    0.944831    0.727087    
2           44          3.84        330         0.00218515  0.363711    0.986025    0.847921    
2           45          3.84        0           0.22801     0.252284    0.923865    0.870312    
2           46          1.92        30          0.528106    0.580718    0.805765    0.575171    
2           47          7.68        270         0.078555    0.148121    0.993981    0.875687    
2           48          7.68        120         0.232364    0.248465    0.91889     0.863689    
2           49          3.84        0           0.147844    0.543099    0.954067    0.718082    
2           50          1.28        30          0.7472      0.51833     0.558341    0.661952    
2           51          0.96        0           0.350423    0.871477    0.582332    0.332056    
2           52          3.84        30          0.041023    0.886428    0.966556    0.374758    
2           53          3.84        150         0.0720214   0.474667    0.952997    0.731968    
2           54          3.84        30          0.145635    0.803343    0.942279    0.571715    
2           55          5.12        0           0.0322872   0.886462    0.894696    0.294711    
2           56          2.56        210         0.185511    0.318624    0.91574     0.841255    
2           57          3.84        0           0.193214    0.82986     0.849292    0.468332    
2           58          3.84        0           0.0957203   0.1237      0.984491    0.953709    
2           59          3.84        150         0.120577    0.563687    0.941569    0.608107    
2           60          1.92        210         0.135608    0.479772    0.975251    0.741142    
2           61          3.84        0           0.224253    0.847343    0.882253    0.426191    
2           62          2.56        330         0.125975    0.113369    0.966632    0.906179    
2           63          2.56        240         0.162278    0.041375    0.957385    0.973996    
2           64          3.84        210         0.000686294 0.614425    0.969883    0.645321    
2           65          5.12        0           0.0183498   0.903621    0.899042    0.24545     
2           66          1.92        0           0.0658316   0.267826    0.979664    0.840467    
2           67          0.64        150         0.377588    0.775116    0.739869    0.676119    
2           68          5.12        180         0.0513732   0.860627    0.951141    0.349424    
2           69          3.84        30          0.157202    0.707106    0.908409    0.654128    
2           70          2.56        180         0.11171     0.399254    0.941259    0.771037    
2           71          3.84        30          0.0638475   0.532809    0.911807    0.677282    
2           72          2.56        330         0.0195652   0.91676     0.933574    0.213237    
2           73          7.68        180         0.0821645   0.702061    0.953998    0.624829    
2           74          1.92        240         0.340902    0.117936    0.898052    0.9796      
