site           roi   direction          sf
------------------------------------------
2.0            0.0       300.0      3.5401
2.0            1.0       300.0      3.6515
2.0            2.0         0.0      3.7664
2.0            3.0         0.0      2.4035
2.0            4.0       180.0      5.3783
2.0            5.0       300.0      3.4857
2.0            6.0        60.0      1.7361
2.0            7.0       300.0      3.2763
2.0            8.0         0.0      3.9455
2.0            9.0       120.0      2.5571
2.0           10.0       270.0       2.597
2.0           11.0         0.0      5.4622
2.0           12.0       300.0      2.7206
2.0           13.0       120.0       1.582
2.0           14.0       150.0      2.7206
2.0           15.0       330.0      2.6376
2.0           16.0       120.0       2.597
2.0           17.0       240.0      3.8252
2.0           18.0       270.0       2.597
2.0           19.0       120.0      2.6376
2.0           20.0       300.0      3.7085
2.0           21.0       270.0      2.6376
2.0           22.0        30.0      1.7632
2.0           23.0       150.0      3.6515
2.0           24.0       270.0      2.5571
2.0           25.0       270.0      0.8919
2.0           26.0         0.0      2.8944
2.0           27.0       330.0      1.7632
2.0           28.0       270.0       2.597
2.0           29.0         0.0      3.2259
2.0           30.0        30.0      3.3274
2.0           31.0        30.0      3.4321
2.0           32.0       300.0      3.5401
2.0           33.0       150.0        7.68
2.0           34.0       270.0      2.5571
2.0           35.0       120.0      4.0071
2.0           36.0       210.0      2.6376
2.0           37.0       330.0      3.8849
2.0           38.0       120.0      2.7206
2.0           39.0       300.0      3.2259
2.0           40.0       120.0       2.763
2.0           41.0         0.0      4.1332
2.0           42.0       330.0      2.5571
2.0           43.0       330.0      2.6376
2.0           44.0       330.0      3.3794
2.0           45.0       330.0       2.441
2.0           46.0        30.0      1.9651
2.0           47.0       270.0        7.68
2.0           48.0       120.0        7.68
2.0           49.0         0.0      3.3274
2.0           50.0        30.0      1.3137
2.0           51.0         0.0      0.8514
2.0           52.0        30.0      3.7085
2.0           53.0       150.0      4.3298
2.0           54.0        30.0      4.0697
2.0           55.0         0.0      5.6341
2.0           56.0       210.0      2.3302
2.0           57.0         0.0      4.0697
2.0           58.0         0.0      3.8849
2.0           59.0       150.0      3.7664
2.0           60.0       210.0      2.0586
2.0           61.0         0.0      4.0071
2.0           62.0       330.0       2.597
2.0           63.0       240.0       2.441
2.0           64.0       210.0      3.8252
2.0           65.0         0.0      4.8256
2.0           66.0         0.0      1.9958
2.0           67.0       180.0      1.1606
2.0           68.0         0.0      4.0071
2.0           69.0        30.0      3.6515
2.0           70.0       330.0      2.9396
