site      roi       npix      medx      medy      neuropil_pix  radius      aspect_ratio   skew        std         mrs         mrs0        compact     solidity  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
2         0         167       254       19        509           8.6397      1.2274         2.8544      146.9591    1.3142      4.7907      1.0506      1.1329    
2         1         35        266       16        756           3.5056      1.1637         0.5767      190.1483    0.5523      2.0674      1.0231      1.3953    
2         2         34        398       17        361           2.7540      0.9991         0.5294      158.1474    0.4894      1.8744      1.0000      1.5625    
2         3         132       446       19        908           6.4941      1.0850         1.6068      305.6149    1.1129      4.2236      1.0091      1.1351    
2         4         161       435       23        498           7.3152      1.1227         -0.0756     205.8992    1.2466      4.7021      1.0153      1.0986    
2         5         56        296       23        358           3.7509      1.0520         0.4377      134.9220    0.6424      2.4602      1.0000      1.3231    
2         6         111       24        28        513           5.9706      1.0338         3.1319      151.7906    0.9829      3.7366      1.0074      1.1579    
2         7         46        297       29        878           3.6199      1.0994         0.5117      166.9064    0.6133      2.3095      1.0170      1.3571    
2         8         95        457       32        390           5.5068      1.1012         -0.1095     215.4232    0.9613      3.6431      1.0105      1.1975    
2         9         291       335       38        741           9.1615      1.1109         0.1447      163.9028    1.6126      6.1252      1.0082      1.0729    
2         10        138       153       39        506           6.3164      1.0338         0.1974      123.5761    1.1417      4.3519      1.0047      1.1552    
2         11        75        486       37        426           6.0352      1.2126         0.3586      132.8372    0.8825      3.2397      1.0432      1.1746    
2         12        110       102       39        462           5.9301      1.0102         1.5285      115.2455    1.0076      3.8529      1.0015      1.1732    
2         13        129       196       43        520           6.0370      1.0116         1.3751      73.3468     1.0204      3.9079      1.0000      1.1803    
2         14        75        382       42        431           4.8800      1.0631         0.4270      97.0172     0.7872      3.0058      1.0030      1.2190    
2         15        149       364       45        517           6.3730      1.0217         0.5869      122.0481    1.1587      4.4301      1.0016      1.1440    
2         16        132       273       52        544           6.4865      1.0462         0.4182      94.0564     1.1114      4.2401      1.0038      1.1441    
2         17        141       67        58        533           6.3143      1.0516         0.4551      309.6198    1.1382      4.3365      1.0052      1.1515    
2         18        42        125       59        379           4.5480      1.2489         0.5206      150.5420    0.6535      2.3095      1.0835      1.2063    
2         19        91        303       60        461           6.5458      1.3217         -0.1249     249.9143    0.9633      3.4126      1.0810      1.2148    
2         20        114       331       64        412           6.2401      1.0771         0.3245      96.9025     0.9950      3.7948      1.0042      1.1657    
2         21        127       157       66        547           6.5337      1.1008         0.4384      97.9610     1.0881      4.1205      1.0113      1.1429    
2         22        23        21        65        801           2.8968      1.1129         1.3243      151.6781    0.4466      1.6354      1.0457      1.5833    
2         23        70        359       69        440           4.7375      1.1017         0.3736      138.5298    0.7759      2.9585      1.0044      1.2277    
2         24        215       323       78        580           7.2624      0.9997         0.1053      214.4516    1.3641      5.2240      1.0000      1.1092    
2         25        63        375       76        420           4.4049      1.1107         0.5879      178.7570    0.7533      2.8419      1.0151      1.2128    
2         26        168       473       90        579           7.5076      1.1417         1.2805      230.2731    1.2559      4.7468      1.0132      1.1080    
2         27        108       184       91        488           6.3987      1.1399         0.5337      97.3969     1.0286      3.8529      1.0224      1.1602    
2         28        117       140       95        503           6.0220      1.0551         0.3732      83.8870     0.9955      3.7948      1.0046      1.1657    
2         29        132       440       96        438           6.6782      1.1402         0.5671      139.1524    1.0790      4.0873      1.0110      1.1569    
2         30        81        78        98        449           4.8828      1.0516         0.2969      121.3621    0.7979      3.0503      1.0017      1.2110    
2         31        24        46        100       355           2.9196      1.1585         0.3801      254.7096    0.4534      1.6655      1.0427      1.5385    
2         32        69        335       100       439           5.4343      1.1748         0.3143      134.6804    0.8422      3.0921      1.0430      1.1930    
2         33        30        427       99        648           2.6137      1.0116         0.5591      206.3312    0.4678      1.7914      1.0000      1.5333    
2         34        80        282       104       454           5.8063      1.1730         0.2819      148.4308    0.9006      3.3511      1.0293      1.1704    
