site             depth
----------------------
site038            140
site030            150
site029            166
site028            172
site027            186
site026            202
site025            212
site024            228
site002            242
site003            262
site004            278
site005            294
site006            304
site007            318
site008            334
site009            348
site010            368
site011            390
site012            400
site014            416
site015            426
site016            450
site017            466
site018            462
site019            476
site020            482
site021            504
site022            518
